,ID,D_PM25_2,lon,lat
0,060014001001,-4712.451448890735,-122.23195979182832,37.86763308252164
1,060014002001,-2041.5579399122594,-122.24886085873608,37.849750077602195
2,060014002002,-1417.8811387744124,-122.25032252741809,37.846591455187166
3,060014003001,-2712.806090693295,-122.24867989151791,37.843989821937896
4,060014003002,-2473.0362308397566,-122.25470472622436,37.83773113565084
5,060014003003,-807.3336000069434,-122.25976264892726,37.84046438916899
6,060014003004,-2268.1958128900364,-122.25414442694213,37.8402905876436
7,060014004001,-1604.3667118253552,-122.25498880109024,37.850089554291
8,060014004002,-836.2681027156295,-122.25906212440103,37.844845902117335
9,060014004003,-1080.2967536265667,-122.25876917298928,37.85012896577085
10,060014005001,580.3521115818644,-122.26321020806387,37.848900347113045
11,060014005002,210.69379940614252,-122.26705853352885,37.846518115751415
12,060014005003,-611.6190878382616,-122.26736099877702,37.85014662134889
13,060014006001,729.0544982314321,-122.26455122405575,37.84329738982468
14,060014006002,-1028.5782731841136,-122.26534566243446,37.84034415137375
15,060014007001,660.7559456918133,-122.27345688053389,37.845394008409485
16,060014007002,3546.476045412211,-122.27237762502311,37.842607234209
17,060014007003,3042.62610885043,-122.27193232643631,37.84038223853161
18,060014007004,508.3698436599849,-122.27156307431547,37.83823363590143
19,060014008001,2664.398725481145,-122.28488427277303,37.848117724107304
20,060014008002,2230.484620022859,-122.28258522542662,37.8452859201211
21,060014008003,142.48819213740833,-122.2825345225991,37.84273285294774
22,060014009001,2526.8125841738556,-122.27953674901774,37.84062899464295
23,060014009002,249.2648273860113,-122.28108197948383,37.838266795936526
24,060014010001,3213.2051736472026,-122.26966500583042,37.83584232148777
25,060014010002,1154.522884352248,-122.27114383289364,37.83400511396174
26,060014010003,-73.95267577738113,-122.27242935291315,37.83220860504344
27,060014010004,1791.3399978090993,-122.26926416902026,37.82915904264506
28,060014010005,1983.3849191409438,-122.27293686104038,37.8266835072696
29,060014010006,1095.311398822749,-122.2749063158242,37.82975326118537
30,060014011001,-368.4270525777379,-122.26160663032852,37.83429217963285
31,060014011002,-559.4440205760592,-122.26256026946807,37.82928664192724
32,060014011003,1740.1989664188156,-122.264869726313,37.825278932309935
33,060014011004,678.0592569924202,-122.26515076785795,37.83254580061838
34,060014012001,-712.2577419308861,-122.25688959542995,37.833762576434765
